FID,Kode_Provi,Provinsi,Kasus_Posi,Kasus_Semb,Kasus_Meni,"X, Y",,
1,11,Aceh,9918,8094,397,"96.9095227480001, 4.22508189200005",,
2,12,Sumatera Utara,27548,24241,918,"99.0578878490001, 2.18477921500005",,
3,13,Sumatera Barat,32098,30119,690,"100.46680503, -0.85191434799998",,
4,14,Riau,35270,32927,865,"101.812891954, 0.510525849000032",,
5,15,Jambi,6361,5096,95,"103.59932, -1.61774999999994",,
6,16,Sumatera Selatan,17974,15679,854,"104.170419445, -3.21334682199995",,
7,17,Bengkulu,5497,5072,157,"102.26312, -3.79115999999993",,
8,19,Bangka Belitung,9593,8649,158,"105.986948082, -2.25295641099996",,
9,18,Lampung,14178,12875,768,"105.018313051, -4.91807308699993",,
10,21,Kepulauan Riau,9304,8779,230,"108.202228889, 3.91594724100003",,
11,31,DKI Jakarta,385730,372463,6354,"106.82649, -6.17147999999997",,
12,32,Jawa Barat,251847,223713,3235,"107.602807898, -6.91998021599994",,
13,33,Jawa Tengah,169719,127592,7300,"110.201112529, -7.25897038299996",,
14,34,Daerah Istimewa Yogyakarta,33902,27951,817,"110.445366971, -7.89501381499997",,
15,35,Jawa Timur,140101,128133,9947,"112.733678801, -7.72011301899994",,
16,36,Banten,39514,34206,813,"106.109197069, -6.45618159899993",,
17,51,Bali,40025,37294,1149,"115.131650995, -8.36974326099994",,
18,52,Nusa Tenggara Barat,9626,7572,360,"117.506862452, -8.60665208399996",,
19,53,Nusa Tenggara Timur,12580,10476,345,"121.14182917, -8.60484333199997",,
20,61,Kalimantan Barat,5994,5388,33,"111.120762401, -0.085901233999948",,
21,62,Kalimantan Tengah,17407,14253,392,"113.181047852, -1.63434004499993",,
22,63,Kalimantan Selatan,28427,24551,842,"115.311307834, -2.44977913699995",,
23,64,Kalimantan Timur,64115,59436,1506,"116.470858393, 0.461046227000054",,
24,65,Kalimantan Utara,11170,9480,174,"116.216718309, 2.88882096100002",,
25,71,Sulawesi Utara,15375,12485,500,"124.53537885, 1.28609768700005",,
26,72,Sulawesi Tengah,11271,10207,297,"120.4495925, -1.45921495399995",,
27,73,Sulawesi Selatan,59732,57826,910,"120.161157704, -3.74711571199992",,
28,74,Sulawesi Tenggara,10275,9635,205,"122.078678056, -4.13280397099993",,
29,75,Gorontalo,5172,4840,147,"123.06184, 0.53707",,
30,76,Sulawesi Barat,5369,5127,113,"119.343471383, -2.46190201499996",,
31,81,Maluku,7370,6854,110,"129.360425, -3.12611934299997",,
32,82,Maluku Utara,4331,3666,120,"128.015929442, 0.869337001000019",,
33,94,Papua,19654,10381,203,"140, -4.99999999999994",,
34,91,Papua Barat,8362,7774,134,"132.968341712, -2.04172328199996",,
35,0,Indonesia,0,0,0,"113.915865, -0.989818181999965",,
